pid,process_type,priority,arrival_time,cpu_burst,io_frequency,memory_mb,num_threads
416,io_bound,8,43,3,0.72,143,4
417,cpu_bound,20,43,47,0.07,1323,14
418,mixed,14,43,16,0.32,479,6
419,cpu_bound,19,43,41,0.1,1718,4
420,interactive,4,43,2,0.53,163,2
421,interactive,1,43,1,0.57,132,3
422,io_bound,8,43,2,0.84,83,1
423,interactive,1,43,4,0.6,359,1
424,io_bound,1,44,6,0.71,139,4
425,cpu_bound,16,44,36,0.14,574,11
426,io_bound,4,44,5,0.67,54,4
427,mixed,10,44,7,0.47,553,8
428,io_bound,7,44,5,0.76,202,4
429,mixed,6,44,17,0.33,188,2
430,mixed,8,44,15,0.31,371,4
431,interactive,1,44,4,0.57,372,2
432,io_bound,4,44,2,0.75,105,3
433,mixed,9,44,12,0.47,873,2
434,mixed,11,45,21,0.56,618,2
435,io_bound,2,45,10,0.92,144,1
436,mixed,14,45,16,0.37,866,2
437,mixed,11,45,23,0.36,361,5
438,mixed,10,45,22,0.44,156,8
439,cpu_bound,19,45,48,0.13,620,13
440,cpu_bound,15,45,40,0.18,1884,9
441,io_bound,3,45,9,0.7,206,1
442,interactive,2,45,3,0.67,389,4
443,interactive,2,46,4,0.52,190,3
444,io_bound,1,46,2,0.69,187,4
445,mixed,11,46,25,0.44,566,6
446,mixed,9,46,27,0.59,897,8
447,io_bound,3,46,6,0.68,59,1
448,io_bound,3,46,1,0.78,162,4
449,interactive,2,46,1,0.56,79,2
450,mixed,13,46,23,0.54,857,4
451,interactive,1,46,1,0.63,424,4
452,interactive,4,46,1,0.62,489,2
453,cpu_bound,13,47,50,0.15,972,16
454,io_bound,5,47,8,0.7,181,4
455,io_bound,7,47,1,0.9,152,2
456,mixed,13,47,23,0.41,499,4
457,interactive,1,47,4,0.75,145,4
458,interactive,2,47,1,0.77,371,2
459,io_bound,1,47,7,0.75,221,2
460,interactive,3,47,1,0.65,364,1
461,interactive,3,47,1,0.65,395,2
462,interactive,2,47,3,0.76,398,2
463,cpu_bound,12,47,49,0.08,1874,5
464,cpu_bound,15,48,23,0.19,1507,7
465,cpu_bound,15,48,16,0.07,1451,14
466,cpu_bound,17,48,55,0.14,1228,9
467,mixed,13,48,24,0.53,309,7
468,io_bound,2,48,5,0.89,204,4
469,io_bound,2,48,4,0.89,35,4
470,cpu_bound,19,49,26,0.13,1541,14
471,io_bound,5,49,3,0.74,158,2
472,mixed,8,49,18,0.33,530,6
473,io_bound,9,49,1,0.73,187,2
474,mixed,13,49,17,0.39,296,4
475,mixed,7,49,11,0.51,713,7
476,cpu_bound,14,49,46,0.17,1540,14
477,io_bound,7,49,7,0.68,166,4
478,interactive,2,49,2,0.74,470,4
479,cpu_bound,14,49,18,0.13,771,16
480,mixed,8,49,13,0.52,193,3
481,mixed,9,49,15,0.48,151,3
482,io_bound,10,50,5,0.73,43,4
483,io_bound,2,50,7,0.82,244,3
484,mixed,10,50,12,0.32,807,3
485,cpu_bound,20,50,24,0.17,1993,4
486,interactive,4,50,6,0.46,421,2
487,mixed,14,50,8,0.41,926,2
488,mixed,7,50,8,0.45,845,6
489,mixed,7,50,15,0.39,210,3
490,mixed,5,50,21,0.43,975,7
491,mixed,6,50,23,0.46,945,6
492,mixed,14,50,12,0.47,212,4
493,mixed,5,51,24,0.5,695,4
494,interactive,4,51,3,0.57,472,3
495,mixed,11,51,11,0.4,237,2
496,interactive,5,51,1,0.48,211,2
497,mixed,14,51,25,0.6,664,3
498,interactive,5,51,5,0.57,457,2
499,io_bound,4,51,2,0.7,207,3
500,mixed,12,51,18,0.33,856,5
501,io_bound,6,51,8,0.86,198,4
502,mixed,9,51,7,0.44,295,6
503,io_bound,8,51,3,0.94,121,4
504,mixed,9,51,7,0.43,354,6
505,io_bound,7,52,1,0.76,202,4
506,interactive,4,52,2,0.72,305,2
507,mixed,6,52,12,0.5,807,5
508,mixed,6,52,11,0.41,331,4
509,io_bound,4,52,9,0.8,182,3
510,io_bound,10,52,1,0.7,155,4
511,interactive,5,52,4,0.41,435,2
512,cpu_bound,15,53,34,0.14,1903,10
513,cpu_bound,18,53,50,0.12,2045,12
514,io_bound,5,53,1,0.78,221,1
515,io_bound,6,53,1,0.94,219,4
516,mixed,13,53,6,0.58,752,5
517,mixed,11,53,10,0.36,833,2
518,io_bound,6,54,2,0.91,244,3
519,io_bound,2,54,1,0.72,160,2
520,mixed,8,54,23,0.47,425,8
521,mixed,15,54,19,0.58,929,2
522,cpu_bound,14,54,25,0.09,1430,14
523,cpu_bound,13,54,47,0.05,1537,15
524,io_bound,5,54,3,0.74,235,4
525,mixed,12,54,12,0.53,749,7
526,io_bound,3,54,4,0.94,42,2
527,mixed,15,54,11,0.39,133,5
528,io_bound,6,55,5,0.9,230,1
529,io_bound,3,55,1,0.86,55,1
530,io_bound,3,55,5,0.7,32,4
531,cpu_bound,19,55,24,0.17,1485,15
532,io_bound,10,55,8,0.9,146,3
533,io_bound,2,55,8,0.88,239,3
534,mixed,9,55,21,0.6,931,4
535,cpu_bound,19,55,27,0.17,1537,9
536,io_bound,1,55,1,0.73,188,4
537,cpu_bound,19,55,47,0.16,1443,10
538,cpu_bound,20,56,51,0.17,1054,14
539,cpu_bound,13,56,52,0.18,1022,4
540,mixed,10,56,17,0.46,816,2
541,io_bound,2,56,2,0.67,218,3
542,io_bound,7,56,2,0.94,249,4
543,cpu_bound,12,56,22,0.06,669,4
544,mixed,12,56,9,0.57,631,8
545,mixed,5,57,23,0.5,912,6
546,mixed,7,57,15,0.44,593,7
547,mixed,8,57,11,0.52,539,5
548,cpu_bound,11,57,51,0.19,1880,4
549,interactive,4,57,3,0.52,399,4
550,io_bound,4,57,3,0.87,255,3
551,mixed,8,57,10,0.59,227,2
552,mixed,10,57,18,0.55,345,6
553,mixed,5,57,19,0.35,674,6
554,io_bound,3,57,3,0.94,98,4
555,mixed,10,58,23,0.56,193,7
556,interactive,2,58,2,0.71,278,4
557,cpu_bound,11,58,25,0.06,1410,6
558,interactive,2,59,3,0.6,304,4
559,interactive,1,59,1,0.65,429,4
560,io_bound,1,59,6,0.78,199,2
561,mixed,6,59,13,0.31,272,5
562,mixed,7,59,19,0.47,259,4
563,io_bound,8,59,4,0.67,33,1
564,interactive,4,60,5,0.52,102,3
565,mixed,8,60,10,0.38,952,4
566,interactive,5,60,2,0.49,439,1
567,mixed,12,60,12,0.58,716,2
568,mixed,7,60,10,0.59,204,6
569,mixed,5,60,10,0.58,727,5
570,interactive,3,60,3,0.5,116,1
571,mixed,5,61,16,0.31,728,7
572,cpu_bound,15,61,42,0.05,1900,12
573,interactive,1,61,1,0.72,216,4
574,interactive,2,61,2,0.53,176,3
575,io_bound,10,61,4,0.78,145,2
576,mixed,10,62,24,0.6,519,5
577,mixed,7,62,19,0.45,678,7
578,mixed,12,62,24,0.34,775,4
579,mixed,14,62,18,0.33,628,2
580,interactive,4,62,2,0.52,122,1
581,mixed,10,62,4,0.43,544,4
582,cpu_bound,16,62,45,0.15,525,6
583,io_bound,2,62,3,0.84,51,2
584,cpu_bound,15,62,38,0.06,1840,10
585,mixed,11,62,11,0.51,690,3
586,cpu_bound,12,63,36,0.2,1605,4
587,cpu_bound,18,63,24,0.09,1448,13
588,cpu_bound,18,63,33,0.12,1140,13
589,mixed,9,63,14,0.34,695,3
590,interactive,2,63,2,0.55,255,2
591,io_bound,1,64,4,0.68,140,3
592,interactive,4,64,5,0.66,427,4
593,cpu_bound,16,64,32,0.17,1509,14
594,io_bound,1,64,6,0.91,70,2
595,io_bound,8,64,3,0.94,125,1
596,interactive,5,64,1,0.83,179,2
597,cpu_bound,18,64,25,0.15,669,12
598,mixed,11,64,15,0.37,237,3
599,interactive,2,64,1,0.64,512,3
600,cpu_bound,11,64,20,0.06,1747,16
601,mixed,6,64,15,0.46,410,3
602,io_bound,2,64,9,0.79,57,2
603,mixed,5,64,15,0.34,916,2
604,cpu_bound,13,64,36,0.06,647,5
605,io_bound,5,65,3,0.93,183,1
606,cpu_bound,17,65,23,0.11,1719,4
607,cpu_bound,16,66,50,0.18,1368,7
608,mixed,7,66,19,0.49,173,6
609,cpu_bound,10,66,33,0.06,1257,8
610,io_bound,1,66,1,0.77,112,1
611,interactive,1,66,5,0.54,366,2
612,cpu_bound,14,66,31,0.19,1065,16
613,mixed,7,66,18,0.58,527,7
614,cpu_bound,10,66,41,0.09,1716,10
615,io_bound,6,67,5,0.78,202,3
616,io_bound,3,67,8,0.67,32,4
617,interactive,5,67,3,0.8,307,3
618,interactive,5,67,4,0.41,318,1
619,interactive,3,67,1,0.57,431,4
620,interactive,5,67,5,0.64,470,2
621,cpu_bound,18,68,22,0.15,1093,8
622,mixed,11,68,26,0.46,971,3
623,mixed,5,68,18,0.47,696,3
624,interactive,4,68,1,0.66,403,1
625,cpu_bound,19,68,39,0.05,1160,10
626,cpu_bound,15,68,17,0.05,992,11
627,io_bound,2,68,7,0.68,141,3
628,mixed,10,68,8,0.5,971,7
629,cpu_bound,19,68,32,0.2,1265,9
630,interactive,1,68,2,0.8,90,2
631,interactive,1,69,1,0.83,166,1
632,cpu_bound,12,69,21,0.13,2001,13
633,io_bound,4,69,1,0.94,133,1
634,interactive,5,69,4,0.67,236,4
635,mixed,13,69,14,0.33,925,6
636,interactive,4,69,4,0.48,239,2
637,mixed,11,69,21,0.33,360,2
638,cpu_bound,18,69,33,0.18,1376,9
639,cpu_bound,20,70,45,0.14,1495,7
640,cpu_bound,12,70,43,0.12,1236,7
641,io_bound,7,70,5,0.74,236,4
642,io_bound,3,70,7,0.7,228,1
643,interactive,1,70,2,0.45,327,3
644,interactive,1,70,4,0.83,384,4
645,io_bound,8,71,9,0.88,84,3
646,io_bound,10,71,4,0.85,62,2
647,interactive,3,71,1,0.59,462,1
648,interactive,3,71,6,0.47,296,1
649,interactive,1,71,1,0.75,376,1
650,interactive,4,71,3,0.77,137,2
651,mixed,12,71,24,0.51,634,5
652,mixed,6,71,9,0.32,841,5
653,mixed,7,71,17,0.56,143,3
654,io_bound,8,71,6,0.85,206,1
655,io_bound,8,72,1,0.72,241,4
656,cpu_bound,19,72,41,0.17,1290,6
